% Specific	extinction	coeffs	taken from BORL Water measured by Matcher at 37Celcius in OD/M/cm
% specific absorption coefficient = specific extinction coefficient x ln(10)
% Specific Extinction is described using base 10 logarithm units and Specific Absorption is described using natural logarithm units.

wavelength,Water,HbO2,HHb,FatSoybean,diffCCO,ox_redCCO,oxCCO,redCCO
904,0.000534657,1343.14,893.39,893.39,1784.95,1741.5587,3310.205,1568.6463
905,0.000542058,1344.88,894.17,894.17,1777.96,1727.965,3296.14,1568.175
906,0.000549097,1346.36,894.99,894.99,1770.84,1715.6762,3282.51,1566.8338
907,0.000554693,1347.44,895.69,895.69,1764.45,1698.0225,3267.9375,1569.915
908,0.00056065,1349.27,895.99,895.99,1758.07,1690.5912,3257.7875,1567.1963
909,0.000569495,1350.35,896.25,896.25,1751.86,1671.9224,3244.7737,1572.8513
910,0.000577617,1351.05,896.56,896.56,1745.56,1661.6275,3229.7662,1568.1387
911,0.000584116,1352.44,896.17,896.17,1735.74,1646.7288,3216.245,1569.5162
912,0.000594585,1353.87,895.47,895.47,1726.06,1637.0137,3204.065,1567.0513
913,0.000605054,1354.96,894.86,894.86,1716.24,1618.0913,3190.9788,1572.8875
914,0.000617329,1355.87,893.95,893.95,1706.39,1602.9388,3173.4338,1570.495
915,0.000627437,1356.65,892.87,892.87,1696.57,1592.0275,3160.0575,1568.03
916,0.000642238,1357.47,891.78,891.78,1686.89,1582.6388,3147.95,1565.3112
917,0.000657401,1357.87,890.17,890.17,1673.08,1565.8549,3128.6287,1562.7738
918,0.000673466,1358.34,888.26,888.26,1659.27,1552.2612,3110.9025,1558.6413
919,0.000689892,1358.17,886.4,886.4,1645.19,1539.465,3094.1187,1554.6537
920,0.000711372,1358.65,884.18,884.18,1631.08,1526.3425,3072.6225,1546.28
921,0.000734116,1359.47,881.49,881.49,1616.79,1506.3325,3060.805,1554.4725
922,0.000756498,1359.86,878.79,878.79,1602.5,1496.1825,3043.695,1547.5125
923,0.000783032,1359.86,875.8,875.8,1585.91,1475.52,3028.9775,1553.4575
924,0.000812094,1359.86,872.37,872.37,1569.28,1461.3825,3009.91,1548.5275
925,0.000843682,1359.86,868.89,868.89,1549.09,1453.5163,2999.5425,1546.0262
926,0.000876173,1360.04,865.29,865.29,1528.8,1432.9263,2980.2213,1547.295
927,0.000911913,1359.95,861.08,861.08,1510.22,1426.8724,2969.9987,1543.1263
928,0.000950542,1359.56,856.86,856.86,1491.54,1409.8713,2949.9888,1540.1175
929,0.000990975,1359.65,852.56,852.56,1476.82,1393.9575,2937.7725,1543.815
930,0.001036101,1359.17,847.79,847.79,1462.14,1375.9051,2916.3488,1540.4437
931,0.001079422,1358.95,842.97,842.97,1447.63,1361.26,2901.3775,1540.1175
932,0.001127798,1358.65,837.97,837.97,1433.13,1352.4512,2883.5787,1531.1275
933,0.0011787,1358.04,832.2,832.2,1415.76,1339.655,2868.7888,1529.1338
934,0.001231047,1357.34,826.29,826.29,1398.43,1325.5175,2852.1138,1526.5963
935,0.001284838,1356.56,820.51,820.51,1379.67,1312.7212,2838.5562,1525.835
936,0.001340433,1355.35,814.09,814.09,1360.95,1296.2275,2818.5462,1522.3187
937,0.001398736,1354.56,807.79,807.79,1342.36,1285.6062,2800.6025,1514.9963
938,0.001459747,1354.17,801.4,801.4,1323.77,1268.7138,2788.5313,1519.8175
939,0.001522383,1352.96,794.28,794.28,1304.97,1250.19,2773.8138,1523.6238
940,0.00158917,1351.65,787.2,787.2,1286.16,1229.6362,2756.5225,1526.8863
941,0.001656679,1350.74,779.99,779.99,1272.09,1216.0062,2741.3337,1525.3275
942,0.001734116,1349.87,772.52,772.52,1257.98,1202.7025,2725.6375,1522.935
